data,label,ntiles
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20110818_M1BS_103001000C94F200-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20110818_M1BS_103001000C94F200-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20120706_M1BS_1030010019B16500-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20120706_M1BS_1030010019B16500-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20120721_M1BS_103001001AB23900-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20120721_M1BS_103001001AB23900-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20130710_M1BS_103001002536B400-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20130710_M1BS_103001002536B400-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20130818_M1BS_10300100269C9900-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20130818_M1BS_10300100269C9900-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20130820_M1BS_1030010025522400-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20130820_M1BS_1030010025522400-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20150811_M1BS_10300100465A5200-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20150811_M1BS_10300100465A5200-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20160831_M1BS_103001005DB58300-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20160831_M1BS_103001005DB58300-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20170723_M1BS_103001006BD7B700-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20170723_M1BS_103001006BD7B700-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20170805_M1BS_103001006D0FDD00-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20170805_M1BS_103001006D0FDD00-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20180706_M1BS_1030010081668400-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20180706_M1BS_1030010081668400-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20190705_M1BS_1030010094740A00-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20190705_M1BS_1030010094740A00-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20190706_M1BS_1030010095ADF500-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20190706_M1BS_1030010095ADF500-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20200710_M1BS_10300100AAA71100-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20200710_M1BS_10300100AAA71100-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV02_20200711_M1BS_10300100A856F100-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV02_20200711_M1BS_10300100A856F100-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV03_20180719_M1BS_1040010040168B00-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV03_20180719_M1BS_1040010040168B00-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/ilab/data/above_shrubs/jj_squares/vhr_data/WV03_20190707_M1BS_104001004F0ED700-sr-02m-jj-square.tif,/explore/nobackup/people/mmacande/srlite/ecotype_model/20240116_JJsquares_meco2/WV03_20190707_M1BS_104001004F0ED700-sr-02m-jj-square-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered0_WV02_20130820_M1BS_10300100260A9600-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered0_WV02_20130820_M1BS_10300100260A9600-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered10_WV03_20190812_M1BS_10400100507A1200-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered10_WV03_20190812_M1BS_10400100507A1200-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered11_WV02_20110812_M1BS_103001000C00E300-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered11_WV02_20110812_M1BS_103001000C00E300-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered12_WV03_20190812_M1BS_104001004E140900-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered12_WV03_20190812_M1BS_104001004E140900-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered15_WV02_20110822_M1BS_103001000D4CC000-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered15_WV02_20110822_M1BS_103001000D4CC000-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered18_WV02_20130807_M1BS_1030010025484800-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered18_WV02_20130807_M1BS_1030010025484800-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered20_WV03_20190819_M1BS_104001004F54BF00-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered20_WV03_20190819_M1BS_104001004F54BF00-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered24_WV02_20110727_M1BS_103001000B1AA200-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered24_WV02_20110727_M1BS_103001000B1AA200-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered25_WV02_20130826_M1BS_1030010027974900-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered25_WV02_20130826_M1BS_1030010027974900-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered26_WV02_20170810_M1BS_103001006F82C100-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered26_WV02_20170810_M1BS_103001006F82C100-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered29_WV02_20110818_M1BS_103001000CCC9000-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered29_WV02_20110818_M1BS_103001000CCC9000-sr_kmeans-meco2.tif,1000
/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/data/Clustered2_WV02_20130821_M1BS_1030010026299400-sr_data.tif,/explore/nobackup/projects/above/misc/ABoVE_Shrubs/ecotype_training/labels/Clustered2_WV02_20130821_M1BS_1030010026299400-sr_kmeans-meco2.tif,1000
